,New Weight,Old Weight,Turnover
WAVES,0.007153725924472874,0.005868166984885,0.0012855589395878737
WAN,0.00325711239275608,0.002662210244322,0.0005949021484340801
VET,0.023192158478452407,0.019024416105444003,0.004167742373008404
STRAT,0.005193138222099948,0.0042577465946320005,0.0009353916274679472
QTUM,0.011168217486187737,0.009151666991405,0.0020165504947827362
POWR,0.0021109137434123597,0.0016798984711890001,0.0004310152722233596
ONT,0.034797535605467604,0.028544251170821003,0.006253284434646601
NEO,0.040081905547414184,0.032861735115356006,0.007220170432058179
NAS,0.002120869332902546,0.0017397389178710001,0.00038113041503154573
LSK,0.011742641598288221,0.009515604819461001,0.0022270367788272197
KMD,0.0042675996375065054,0.003476968915553,0.0007906307219535053
ETH,0.24999999999999997,0.193350908398771,0.05664909160122897
ETC,0.03866801032333635,0.031431767780077,0.007236242543259351
EOS,0.16984949790281959,0.13956735997119202,0.030282137931627567
ELF,0.0027676179481557943,0.0022682722383880003,0.000499345709767794
DCR,0.010693875777520073,0.00853468779672,0.002159187980800073
BTS,0.009803570561353446,0.008022183303692,0.0017813872576614449
AION,0.00304087677571263,0.002279456402698,0.0007614203730146301
ADA,0.07177301084612019,0.059288117417498,0.012484893428622183
40,New Weight,Old Weight,Turnover
BTG,0.08317092808512529,0.08348126512079501,0.0003103370356697249
DGB,0.05072736789668213,0.050471556606666,0.00025581129001612385
RDD,0.023023920417847763,0.022851534142995,0.00017238627485276214
BCN,0.07801707924174302,0.07855028178538101,0.0005332025436379922
BTS,0.05564298426942084,0.055940253649430005,0.0002972693800091658
HSR,0.01791433368278745,0.017991910554726,7.757687193855195e-05
QTUM,0.06338843036955938,0.063816364377849,0.0004279340082896238
ZEN,0.01488406166712293,0.014124967318235001,0.000759094348887929
ELF,0.01570841164341446,0.015817106086692,0.0001086944432775426
NANO,0.05459245979994877,0.055018474454230006,0.0004260146542812357
AE,0.044095823864143804,0.044439927559554004,0.00034410369541020003
GNO,0.005154671370723498,0.00519080560548,3.613423475650173e-05
SNT,0.024847722294339198,0.025041622584996003,0.0001939002906568045
BAT,0.031104492295088514,0.03132870178365,0.00022420948856148593
XVG,0.040836553415950556,0.041155223251478,0.00031866983552744643
QASH,0.013625898824957116,0.013440605570184,0.00018529325477311537
WAVES,0.04060302892625258,0.040919876443184004,0.0003168475169314233
XZC,0.011581897907783918,0.011108456069165001,0.00047344183861891716
WAN,0.01848667814442104,0.018564112872732002,7.743472831096138e-05
AION,0.017259370709610665,0.015895095452513,0.0013642752570976642
DGD,0.014007126358993198,0.014112728427599001,0.00010560206860580311
STRAT,0.029293204180518336,0.029690099996728003,0.0003968958162096671
FUN,0.01474823047822488,0.014798373103495,5.0142625270121685e-05
POLY,0.008935363435165978,0.008757127649376,0.00017823578578997704
PPT,0.022095229098071052,0.022267650187356002,0.00017242108928494995
POWR,0.011981098058479463,0.011714260697627,0.00026683736085246317
REP,0.026919257005767094,0.027129322608395002,0.00021006560262790824
