,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
Total Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
CVC,1000000000.0,0.0,0.0,0.0,-0.00030313654579636456,-0.00030313654579636456
MANA,1370175175.4102097,,,,-0.0004153501698097788,
Currency Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
BTC,20986335.649999995,-1.862645149230957e-08,-8.881784197001252e-14,-1.862645149230957e-12,1.8590703745405225e-12,-3.5747746904346066e-15
BCH,20982433.289999995,-1.862645149230957e-08,-8.881784197001252e-14,-1.862645149230957e-12,1.858724684755141e-12,-3.920464475815922e-15
BSV,20982141.459999993,-2.2351741790771484e-08,-1.1102230246251565e-13,-2.2351741790771486e-12,1.858698833052564e-12,-3.764753460245847e-13
LTC,83880542.20999998,-7.450580596923828e-08,-8.881784197001252e-14,-7.450580596923828e-12,7.430541168486782e-12,-2.0039428437046572e-14
XLM,49999999999.99999,-3.814697265625e-05,-7.771561172376096e-14,-3.814697265625e-09,4.429240067311423e-09,6.145428016864226e-10
DASH,17600805.029999997,-1.4901161193847656e-08,-8.881784197001252e-14,-1.4901161193847657e-12,1.5591638171162484e-12,6.90476977314827e-14
XMR,22466083.469999995,-1.862645149230957e-08,-7.771561172376096e-14,-1.862645149230957e-12,1.9901535412177366e-12,1.2750839198677951e-13
ZEC,20924230.739999995,-1.862645149230957e-08,-8.881784197001252e-14,-1.862645149230957e-12,1.853568823425547e-12,-9.07632580541027e-15
DOGE,280666706295.70996,-0.000244140625,-8.881784197001252e-14,-2.44140625e-08,2.4862804421705722e-08,4.487419217057206e-10
IOT,2779530283.2799997,,,,2.462241379801849e-10,
DGB,20999999999.999996,-1.52587890625e-05,-7.771561172376096e-14,-1.52587890625e-09,1.8602808282707978e-09,3.3440192202079776e-10
BTG,20983114.729999997,-1.4901161193847656e-08,-6.661338147750939e-14,-1.4901161193847657e-12,1.8587850499821703e-12,3.6866893059740465e-13
MONA,105082724.99999997,-1.043081283569336e-07,-9.992007221626409e-14,-1.043081283569336e-11,9.308732319045355e-12,-1.1220805166480041e-12
ZEN,20865535.359999996,-1.862645149230957e-08,-8.881784197001252e-14,-1.862645149230957e-12,1.8483693048483056e-12,-1.427584438265144e-14
BCD,209999999.99999994,-1.7881393432617188e-07,-8.881784197001252e-14,-1.788139343261719e-11,1.8602808282707978e-11,7.21414850090789e-13
XZC,21347303.339999996,-1.4901161193847656e-08,-6.661338147750939e-14,-1.4901161193847657e-12,1.8910466256515794e-12,4.009305062668137e-13
NANO,133248288.99999999,-8.940696716308594e-08,-6.661338147750939e-14,-8.940696716308595e-12,1.180377321078984e-11,2.8630764944812456e-12
XVG,16499999999.999996,-1.71661376953125e-05,-9.992007221626409e-14,-1.7166137695312502e-09,1.4616492222127696e-09,-2.5496454731848055e-10
PIVX,175458680.39999998,-1.4901161193847656e-07,-8.881784197001252e-14,-1.4901161193847657e-11,1.5542972347705392e-11,6.418111538577352e-13
Platform Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
ETH,79782311.919351,-8785792.414878458,-9.919815356692641,-878.5792414878458,43.92512102234963,-834.6541204654961
XRP,77457910280.54866,10188609548.801514,15.146001873025394,1018860.9548801514,42645.39346328679,1061506.3483434382
XTZ,3790098326.0603657,-105592597.64065695,-2.710497308660742,-10559.259764065695,2086.68467550922,-8472.575088556474
EOS,2691981159.0093822,-74998920.58868408,-2.710497308660731,-7499.892058868409,1482.1029292671067,-6017.789129601302
ADA,82772237165.00584,-2306044535.7538757,-2.71049730866072,-230604.4535753876,45571.26068794275,-185033.19288744486
ETC,383327071.210403,-10679538.553598642,-2.710497308660731,-1067.9538553598643,211.04537571035024,-856.908479649514
NEO,197010981.3558949,-5488749.761995614,-2.71049730866072,-548.8749761995614,108.46678907396526,-440.4081871255961
ONT,1970109813.5589492,-54887497.619956255,-2.71049730866072,-5488.749761995626,1084.6678907396526,-4404.081871255973
RVN,40889544989.01428,-1139187667.5195541,-2.7104973086607087,-113918.76675195542,22512.235719702527,-91406.5310322529
VET,170840561519.50272,-4759638700.979034,-2.710497308660742,-475963.8700979035,94058.34651490214,-381905.52358300134
XEM,17730988320.060432,-493987478.52472305,-2.710497308660742,-49398.747852472305,9762.011015572207,-39636.7368369001
LSK,456156281.8432194,-12708569.16791302,-2.710497308660753,-1270.856916791302,251.14238235315642,-1019.7145344381455
DCR,40623160.53940291,-1131766.164543733,-2.710497308660731,-113.1766164543733,22.365574524931944,-90.81104192944136
ZRX,1970109813.558949,-54887497.61995649,-2.710497308660731,-5488.749761995649,1084.6678907396524,-4404.081871255997
