,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
Total Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
BAT,1221399089.0,40550549.0,3.4340177953728013,4055.0549,-516.4901366362883,3538.564763363712
OMG,140245398.0,0.0,0.0,0.0,-59.30523890838651,-59.30523890838651
ICX,400230000.0,0.0,0.0,0.0,-169.24431109178732,-169.24431109178732
STEEM,305585450.0,4791766.0,1.5930407634490162,479.1766,-129.2221946503856,349.9544053496144
RDD,28808713174.0,0.0,0.0,0.0,-12182.272229904125,-12182.272229904125
BCD,153756875.0,0.0,0.0,0.0,-65.01880514954166,-65.01880514954166
POLY,288292107.0,1505000.0,0.5247795187668602,150.5,-121.90939970120891,28.590600298791088
STRAT,99147692.0,33721.0,0.03402244876253846,3.3721,-41.92634942128455,-38.554249421284545
BTS,2679470000.0,3120000.0,0.11657668092737161,312.0,-1133.0611254556418,-821.0611254556418
KMD,111183258.0,348739.0,0.31464836329555546,34.8739,-47.01580067748658,-12.141900677486582
QASH,350000000.0,0.0,0.0,0.0,-148.00367009500928,-148.00367009500928
NANO,133248289.0,0.0,0.0,0.0,-56.346388016801306,-56.346388016801306
XVG,15172086051.0,0.0,0.0,0.0,-6415.784052986562,-6415.784052986562
SNT,3470483788.0,0.0,0.0,0.0,-1467.555250369229,-1467.555250369229
XZC,6413633.0,655792.0,11.389546880506085,65.5792,-2.7121177789784703,62.86708222102153
ZEN,5455638.0,186000.0,3.5296542191323166,18.6,-2.3070127048851323,16.29298729511487
ELF,280000000.0,0.0,0.0,0.0,-118.40293607600744,-118.40293607600744
AE,233020472.0,0.0,0.0,0.0,-98.53681446648956,-98.53681446648956
WTC,40369759.0,15600.0,0.03865772546518542,1.56,-17.071064265288662,-15.511064265288661
IOST,12003807131.0,,,,-5076.021458573268,
GNO,1104590.0,0.0,0.0,0.0,-0.4670953541435609,-0.4670953541435609
PIVX,56781166.0,0.0,0.0,0.0,-24.010917029354168,-24.010917029354168
DGD,2000000.0,0.0,0.0,0.0,-0.8457352576857673,-0.8457352576857673
REP,11000000.0,0.0,0.0,0.0,-4.651543917271721,-4.651543917271721
POWR,392559001.0,1963619.0,0.5027245816234371,196.36190000000002,-166.00049393380118,30.36140606619884
PPT,53252246.0,0.0,0.0,0.0,-22.51865099657794,-22.51865099657794
FCT,8745102.0,0.0,0.0,0.0,-3.6980205467291594,-3.6980205467291594
WAN,106152493.0,0.0,0.0,0.0,-44.88845301067081,-44.88845301067081
MONA,64634600.0,596725.0,0.9318313576145432,59.6725,-27.33188004320825,32.34061995679175
GNT,959842000.0,0.0,0.0,0.0,-405.8861106038111,-405.8861106038111
AION,265294161.0,2620882.0,0.9977725979504859,262.08820000000003,-112.18431280793224,149.90388719206777
STORJ,135787439.0,0.0,0.0,0.0,-57.42011235657771,-57.42011235657771
NAS,45500000.0,0.0,0.0,0.0,-19.240477112351208,-19.240477112351208
LRC,788984491.0,0.0,0.0,0.0,-333.63600090297956,-333.63600090297956
Application Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
TRX,48357689389.09825,-12002559020.835724,-19.88487346725426,-1200255.9020835725,-48288.88473146535,-1248544.7868150377
MAID,547311999.9013324,79835846.36286461,17.07805751342888,7983.584636286461,-546.5332692537905,7437.051367032671
