,10 Index,10 Even Index
SNT,2.94%,3.70%
SALT,1.19%,3.70%
REP,2.32%,3.70%
PAY,0.96%,3.70%
OMG,10.07%,3.70%
MTL,0.61%,3.70%
LRC,2.51%,3.70%
KNC,1.33%,3.70%
IOST,2.04%,3.70%
ICX,8.33%,3.70%
GNT,2.42%,3.70%
GNO,0.73%,3.70%
GAME,0.73%,3.70%
ETHOS,0.89%,3.70%
DGD,3.18%,3.70%
CVC,0.81%,3.70%
BNB,8.79%,3.70%
BAT,2.34%,3.70%
ANT,0.63%,3.70%
AION,2.52%,3.70%
AE,2.84%,3.70%
FUN,1.31%,3.70%
,Total Index,Total Index Even
BTC,44.14%,1.43%
ETH,16.40%,1.43%
XRP,8.87%,1.43%
XLM,2.05%,1.43%
BCH,4.80%,1.43%
LTC,2.48%,1.43%
ADA,2.14%,1.43%
DASH,1.05%,1.43%
EOS,2.25%,1.43%
ZEC,0.29%,1.43%
NEO,1.50%,1.43%
XMR,1.16%,1.43%
IOT,1.47%,1.43%
TRX,0.96%,1.43%
ETC,0.56%,1.43%
VEN,0.61%,1.43%
XEM,1.07%,1.43%
LSK,0.38%,1.43%
ICX,0.41%,1.43%
OMG,0.49%,1.43%
STEEM,0.24%,1.43%
QTUM,0.49%,1.43%
SC,0.21%,1.43%
MAID,0.05%,1.43%
XVG,0.32%,1.43%
DOGE,0.20%,1.43%
DGD,0.15%,1.43%
BTG,0.30%,1.43%
NANO,0.27%,1.43%
SNT,0.14%,1.43%
DCR,0.14%,1.43%
BNB,0.43%,1.43%
BTS,0.19%,1.43%
GNO,0.04%,1.43%
ZRX,0.15%,1.43%
BCN,0.26%,1.43%
PIVX,0.08%,1.43%
DGB,0.11%,1.43%
HSR,0.10%,1.43%
STRAT,0.18%,1.43%
WAVES,0.16%,1.43%
STORJ,0.05%,1.43%
BAT,0.11%,1.43%
MONA,0.07%,1.43%
KMD,0.12%,1.43%
GNT,0.12%,1.43%
ARK,0.10%,1.43%
CVC,0.04%,1.43%
SALT,0.06%,1.43%
REP,0.11%,1.43%
SYS,0.07%,1.43%
ARDR,0.11%,1.43%
KNC,0.06%,1.43%
ONT,0.32%,1.43%
MTL,0.03%,1.43%
PAY,0.05%,1.43%
FUN,0.06%,1.43%
FCT,0.08%,1.43%
VTC,0.04%,1.43%
GAME,0.04%,1.43%
ANT,0.03%,1.43%
ETHOS,0.04%,1.43%
WTC,0.09%,1.43%
WAN,0.20%,1.43%
ZIL,0.15%,1.43%
GXS,0.06%,1.43%
AE,0.14%,1.43%
AION,0.12%,1.43%
LRC,0.12%,1.43%
IOST,0.10%,1.43%
,Currency,
ZEC,1.46%,
XVG,1.60%,
XMR,5.77%,
XLM,10.20%,
VTC,0.18%,
PIVX,0.42%,
NANO,1.35%,
MONA,0.35%,
LTC,12.37%,
IOT,7.33%,
HSR,0.48%,
DOGE,1.00%,
DGB,0.55%,
DASH,5.21%,
BTG,1.50%,
BTC,25.00%,
BCN,1.30%,
BCH,23.92%,
,Platform,
ZRX,0.69%,
ZIL,0.69%,
XRP,25.00%,
XEM,4.82%,
WTC,0.42%,
WAVES,0.70%,
WAN,0.90%,
VEN,2.73%,
STRAT,0.81%,
QTUM,2.20%,
ONT,1.45%,
NEO,6.74%,
LSK,1.69%,
KMD,0.56%,
FCT,0.37%,
ETH,25.00%,
ETC,2.53%,
EOS,10.09%,
DCR,0.64%,
BTS,0.86%,
ARK,0.43%,
ARDR,0.52%,
AION,0.55%,
ADA,9.63%,
,Application,
TRX,21.85%,
SYS,1.53%,
STORJ,1.04%,
STEEM,5.49%,
SNT,3.25%,
SC,4.75%,
SALT,1.31%,
REP,2.56%,
PAY,1.07%,
OMG,11.12%,
MTL,0.67%,
MAID,1.19%,
LRC,2.76%,
KNC,1.47%,
IOST,2.25%,
ICX,9.22%,
GNT,2.67%,
GNO,0.80%,
GAME,0.81%,
FUN,1.44%,
ETHOS,0.98%,
DGD,3.50%,
CVC,0.89%,
BNB,9.70%,
BAT,2.59%,
ANT,0.69%,
AE,3.12%,
GXS,1.28%,
