,New Weight,Old Weight,Turnover
STEEM,0.018166199997636058,0.017727237592297003,0.00043896240533905506
OMG,0.040832881932717,0.041092237022468,0.0002593550897510011
ICX,0.01919911209916363,0.019294552056533,9.543995736937053e-05
SC,0.015424183633303595,0.015476617254846002,5.243362154240712e-05
VEN,0.0,0.05719407090616101,0.05719407090616101
Platform,New Weight,Old Weight,Turnover
ZRX,0.012252374441350748,0.012044248833988,0.00020812560736274688
ZIL,0.008730306057138565,0.008645142232101001,8.516382503756352e-05
XRP,0.24999999999999997,0.274011112910209,0.024011112910209048
XEM,0.03149410465381427,0.031051714552946003,0.00044239010086826597
WAVES,0.0069652033691879126,0.006867364835439001,9.783853374891165e-05
WAN,0.002942565146276996,0.0029043859171130003,3.817922916399567e-05
VET,0.025162187508555187,0.0,0.025162187508555187
STRAT,0.004673520853450816,0.004606427846489,6.709300696181551e-05
QTUM,0.01237434130056038,0.012177831586592,0.00019650971396837844
POWR,0.0024411275648046973,0.002402594361131,3.853320367369715e-05
ONT,0.04013782157881184,0.039574015268645006,0.0005638063101668367
NEO,0.03798212462260283,0.037749046079804005,0.0002330785427988244
NAS,0.002910149032688825,0.002869270870306,4.08781623828249e-05
LSK,0.013866346243369555,0.01356706310105,0.0002992831423195546
KMD,0.00398296359088564,0.003907998915932001,7.496467495363927e-05
ETH,0.24999999999999994,0.235357169938567,0.014642830061432938
ETC,0.043224199148091114,0.042375472348066004,0.0008487268000251097
EOS,0.14475531725818094,0.14142791697780002,0.003327400280380921
ELF,0.003007092608428244,0.002961551085283,4.5541523145243776e-05
DCR,0.010286785671643926,0.009980260736061002,0.00030652493558292436
BTS,0.009131082113260478,0.009012091473359001,0.00011899063990147667
AION,0.003180116930859442,0.00288437309971,0.0002957438311494416
ADA,0.08050027030603764,0.07945510367750401,0.001045166628533628
VEN,0.0,0.024167843351893002,0.024167843351893002
40,New Weight,Old Weight,Turnover
DGB,0.05041893681477492,0.049795968819044,0.0006229679957309164
QTUM,0.0713135807154539,0.071116093295108,0.00019748742034590705
ZEN,0.016613672632430892,0.016054443050138003,0.0005592295822928889
BTG,0.06219716404096058,0.061984359398215005,0.00021280464274557598
BTS,0.0526226120233123,0.05262880615865,6.194135337700413e-06
ELF,0.01732993589244876,0.017294864178537,3.50717139117572e-05
RDD,0.014082497050715357,0.014086328805920001,3.831755204644627e-06
HSR,0.02201727632488039,0.021864434607167003,0.00015284171771338603
BCN,0.05841287244919726,0.058466013313063,5.314086386574296e-05
BAT,0.038210771789586345,0.038272358299216006,6.158650962966028e-05
XZC,0.014348671617742434,0.013875650091553001,0.00047302152618943286
AE,0.044969151908554016,0.044928176299428,4.097560912601217e-05
GNO,0.006294846925346352,0.006284851627846,9.9952975003521e-06
DGD,0.02079592307093851,0.020803967055342,8.043984403491994e-06
SNT,0.025316428586157003,0.025286669050051003,2.97595361060006e-05
PPT,0.03270657643407337,0.032676774406796005,2.9802027277363308e-05
ETHOS,0.007100185487881087,0.0070170659199680005,8.311956791308677e-05
NANO,0.04217218554658703,0.042133758515664005,3.842703092302169e-05
AION,0.01832311425753104,0.016844160226585,0.0014789540309460385
XVG,0.03856130222055959,0.038584671349816003,2.336912925641338e-05
WAVES,0.04014060874865637,0.040104032877768,3.657587088836539e-05
FUN,0.017406216056558274,0.017390355621677,1.586043488127284e-05
NAS,0.016771248092797987,0.016755966236742,1.528185605598545e-05
REP,0.038104630756837496,0.038069910056323,3.4720700514495606e-05
ZCL,0.008068055383466069,0.0,0.008068055383466069
POWR,0.014061034786873145,0.014030669049871,3.036573700214429e-05
POLY,0.00971938135945451,0.009721184313455,1.8029540004901173e-06
WAN,0.016953965674942853,0.016961031065158002,7.065390215148931e-06
STRAT,0.026933595777969107,0.026900614461512002,3.298131645710495e-05
MONA,0.018811744990840214,0.018626825347533002,0.00018491964330721172
QASH,0.007814874765754036,0.009292374348769,0.0014774995830149646
LRC,0.011327138819251667,0.011438148004549,0.00011100918529733349
PIVX,0.012163201592573777,0.012152118559582,1.1083032991776251e-05
GXS,0.016673791326364953,0.016658598272303,1.5193054061952982e-05
ENG,0.0094740575288231,0.009478410928168,4.35339934490124e-06
BNT,0.015437536845992797,0.015121772233811,0.0003157646121817962
STORJ,0.0074211885519457265,0.0074275223235590005,6.333771613274003e-06
GNT,0.026157182786449375,0.026133348525579,2.383426087037427e-05
CVC,0.009798940143373921,0.009790011410584,8.928732789920818e-06
KMD,0.022953900221943473,0.022821929628965003,0.0001319705929784705
KNC,0.0,0.011125762265966,0.011125762265966
Currency,New Weight,Old Weight,Turnover
ZEN,0.0006548505639117174,0.0006319773224490077,2.2873241462709605e-05
ZEC,0.004568847985985878,0.0044098801328600005,0.00015896785312587754
ZCL,0.0003166779164826463,0.0,0.0003166779164826463
XZC,0.0005631973525506805,0.0005462099285981582,1.6987423952522277e-05
XVG,0.001513563338830024,0.001518871580351,5.308241520976054e-06
XMR,0.011474755702207077,0.011447579575632002,2.7176126575075357e-05
