,Float,Price,Mkt Cap,Weight,Weight Cap,Weight1,Weight_step2,Weight2,Weight_step3,Weight3,Weight_step4,Weight4,AWF,Adj Mkt Cap,Adj Weight,Adj Float
ZRX,924020833.33,0.32163,297192820.62392795,0.008563209344147686,0.25,0.008563209344147686,0.010425405037421124,0.010425405037421124,0.011240186256184765,0.011240186256184765,0.011655620017639855,0.011655620017639855,1.3611275339899989,404517331.05537915,0.011655620017639848,1257710198.2258468
HOT,133214575156.0,0.00118,157193198.68408,0.00452930950681115,0.25,0.00452930950681115,0.0055142744093509295,0.0055142744093509295,0.0059452338979963226,0.0059452338979963226,0.006164967879683317,0.006164967879683317,1.3611275339899986,213959990.8848617,0.0061649678796833135,181322026173.61163
QTUM,95622838.56,2.9439,281504074.436784,0.0081111593327589,0.25,0.0081111593327589,0.009875050108971339,0.009875050108971339,0.010646819199405641,0.010646819199405641,0.011040322300398085,0.011040322300398085,1.3611275339899986,383162946.64627683,0.011040322300398076,130154878.44229655
WAVES,99000000.0,2.79387,276593130.0,0.007969657108037011,0.25,0.007969657108037011,0.0097027761463559,0.0097027761463559,0.010461081434787573,0.010461081434787573,0.010847719726208281,0.010847719726208281,1.3611275339899986,376478524.9554751,0.010847719726208273,134751625.86500987
BTS,2703260000.0,0.05989,161898241.4,0.004664878951809837,0.25,0.004664878951809837,0.005679325422120532,0.005679325422120532,0.006123184214424621,0.006123184214424621,0.006349495184038773,0.006349495184038773,1.3611275339899986,220364154.0740995,0.006349495184038769,3679481617.533804
KMD,112412165.0,1.11952,125847666.9608,0.0036261303869839943,0.25,0.0036261303869839943,0.004414685719279404,0.004414685719279404,0.00475970857430535,0.00475970857430535,0.004935625911561724,0.004935625911561724,1.3611275339899986,171294724.58874834,0.00493562591156172,153007292.93692684
NULS,66446647.0,0.8407899999999999,55867676.33113,0.001609751564624549,0.25,0.001609751564624549,0.001959815694836745,0.001959815694836745,0.0021129820240737905,0.0021129820240737905,0.002191077177493954,0.002191077177493954,1.3611275339899986,76043032.51434238,0.0021910771774939527,90442360.77301393
ELF,280000000.0,0.18434,51615200.0,0.0014872222081681924,0.25,0.0014872222081681924,0.0018106405294643036,0.0018106405294643036,0.001952148307056099,0.001952148307056099,0.002024299096699132,0.002024299096699132,1.3611275339899986,70254869.89240058,0.0020242990966991307,381115709.51719964
WTC,41007759.0,1.6411200000000001,67298653.45008,0.001939119716493861,0.25,0.001939119716493861,0.00236080979081913,0.00236080979081913,0.0025453151862189585,0.0025453151862189585,0.002639389237822674,0.002639389237822674,1.3611275339899986,91602050.21135491,0.0026393892378226724,55816789.882126175
POWR,396829006.0,0.12711,50440934.95266,0.001453387348346285,0.25,0.001453387348346285,0.0017694477822300177,0.0017694477822300177,0.0019077362051132618,0.0019077362051132618,0.001978245537386842,0.001978245537386842,1.3611275339899986,68656545.40426403,0.0019782455373868408,540134886.3524823
STRAT,99265555.0,0.9876,98034662.118,0.0028247362535097145,0.25,0.0028247362535097145,0.00343901665639559,0.00343901665639559,0.003707787622376168,0.003707787622376168,0.0038448262909118254,0.0038448262909118254,1.3611275339899986,133437677.89421608,0.0038448262909118224,135113080.08729857
AION,309271154.0,0.17324,53578134.71896,0.0015437815183563096,0.25,0.0015437815183563096,0.0018794994926929962,0.0018794994926929962,0.0020263888348169023,0.0020263888348169023,0.0021012835310996597,0.0021012835310996597,1.3611275339899986,72926674.38580196,0.002101283531099658,420957483.1782611
NAS,45500000.0,0.9475899999999999,43115345.0,0.001242310377501849,0.25,0.001242310377501849,0.0015124690226684411,0.0015124690226684411,0.0016306736726756778,0.0016306736726756778,0.001690942860579276,0.001690942860579276,1.3611275339899986,58685483.21697802,0.001690942860579275,61931302.79654494
