Ticker,name,Price,percentageChange24HrUsd,Marketcap,Current Marketcap,Volume,Y2050 Supply,Available Supply,Supply % Issued,,,,
Nebulas,Nebulas,0.924677817,10.5987737,92467781.68,42072840.66,5013759.589,100000000,45500000,45.5,,,ARK,Ark
IoTeX,IoTeX,0.009225132,-2.564430898,92251315.24,23293826.15,848609.1076,10000000000,2525040005,25.25040005,,,AION,Aion
Aion,Aion,0.142750958,3.711006269,91516966.72,41664245.5,2456253.32,641095291,291866662,45.52625266,,,EDO,Eidoo
Dent,Dent,0.000914076,4.419825929,91407628.19,40362386.56,551631.8165,1E+11,44156475076,44.15647508,,,ELA,Elastos
DigixDAO,DigixDAO,17.71066199,-2.02429701,88553309.93,35421323.97,339718.7641,5000000,2000000,40,,,PAI,Project Pai
Wanchain,Wanchain,0.420290468,7.369847619,88260998.25,44614880.95,4628902.181,210000000,106152493,50.54880619,,,BLOCK,Blocknet
Elastos,Elastos,2.603420141,-1.047632401,85912864.65,39221492.89,2214434.867,33000000,15065372,45.65264242,,,GXS,GXChain
Loopring,Loopring,0.061790776,1.714827371,84959652.23,51221725.99,1030399.739,1374956868,828954240,60.28947229,,,GNT,Golem
Civic,Civic,0.080578895,1.053921237,80578894.84,35454713.73,1384736.216,1000000000,440000000,44,,,PPT,Populous
Ark,Ark,0.623418019,-0.705870314,77927252.33,68048629.01,511468.7124,125000000,109154094,87.3232752,,,NAS,Nebulas
Golem,Golem,0.077704277,-0.064539827,77704277.3,74877551.1,1284930.925,1000000000,963622000,96.3622,,,WAN,Wanchain
Numeraire,Numeraire,7.055555549,-17.96267253,77681666.59,9520258.658,431633.2008,11010000,1349328,12.25547684,,,SMART,SmartCash
Populous,Populous,1.431883561,2.255565821,76251015.64,76251015.64,1509416.163,53252246,53252246,100,,,FCT,Factom
Nexo,Nexo,0.076194815,-1.610601566,76194814.77,42669097.11,6046344.789,1000000000,560000011,56.0000011,,,CVC,Civic
Loom Network,Loom Network,0.071773912,-0.647893246,71773911.57,54796019.38,1396368.33,1000000000,763453157,76.3453157,,,ARDR,Ardor
Ardor,Ardor,0.069594188,-1.639240441,69524558.57,69524558.57,755749.7084,998999495,998999495,100,,,MONA,Monacoin
Enigma,Enigma,0.430210766,1.14316908,64531614.91,32195326.46,714704.9343,150000000,74836171,49.89078067,,,PAY,TenX
Eidoo,Eidoo,0.701822363,-0.213296273,62664544.65,20536347.69,510232.2938,89288327.07,29261461,32.77187731,,,ENG,Enigma
Kyber Network,Kyber Network,0.260689493,-1.885318196,58915825.32,43116872.09,5357227.402,226000000,165395512,73.18385487,,,LOOM,Loom Network
TenX,TenX,0.268522902,1.351228875,55047194.84,30705019.43,751759.3747,205000000,114347861,55.77944439,,,,
SmartCash,SmartCash,0.010999379,-0.95046453,54996894.01,15551573.99,609229.3663,5000000000,1413859298,28.27718596,,,,
