,Float,Price,Mkt Cap,Weight,Equal,AWF,Adj Mkt Cap,Adj Weight,Adj Float
POWR,404852067.0,0.11352000000000001,45958806.645840004,0.010528951415123902,0.025,2.374405485819768,109124842.6216125,0.024999999999999994,961282968.8302722
NAS,45500000.0,1.0273299999999999,46743514.99999999,0.010708724493212304,0.025,2.3345450726504526,109124842.6216125,0.024999999999999994,106221800.80559559
STRAT,99309458.0,0.8589600000000001,85302852.04368001,0.019542491424126354,0.025,1.2792637058106129,109124842.6216125,0.024999999999999994,127042985.26312342
STORJ,135787439.0,0.22383000000000003,30393302.471370004,0.0069629659345209725,0.025,3.5904239996428924,109124842.62161249,0.02499999999999999,487534479.83564526
THETA,870502690.0,0.09483,82549770.0927,0.01891177299997104,0.025,1.3219278805873085,109124842.6216125,0.024999999999999994,1150741776.0372508
PIVX,56781166.0,0.6294,35738065.880399995,0.008187426671560203,0.025,3.05346246175735,109124842.62161252,0.024999999999999998,173379158.91581273
POLY,433099471.0,0.08492000000000001,36778807.07732,0.008425855697416568,0.025,2.9670576969013593,109124842.6216125,0.024999999999999994,1285031118.954457
LRC,828954240.0,0.05994,49687517.1456,0.011383181856648845,0.025,2.196222489882972,109124842.62161249,0.02499999999999999,1820567944.9718468
GNT,963622000.0,0.07606,73293089.32000001,0.016791109970747415,0.025,1.4888831079990352,109124842.6216125,0.024999999999999994,1434720518.2962463
PPT,53252246.0,1.14646,61051569.94916,0.013986634134459809,0.025,1.7874207446669261,109124842.6216125,0.024999999999999994,95184169.20050634
