Symbol,name,Price,percentageChange24HrUsd,Marketcap,Current Marketcap,Volume,Y2050 Supply,Available Supply,Supply % Issued
R,Revain,0.133855235,-4.13857715,133855235.4,64846168.8,833176.9312,1000000000,484450000,48.445
ELF,AElf,0.133833204,-7.492032491,133833203.8,37473297.06,15434441.37,1000000000,280000000,28
GNO,Gnosis,13.20167426,-7.131393925,132016742.6,14582437.37,83040.69921,10000000,1104590,11.0459
BCN,Bytecoin,0.000683043,-7.881765877,126001027,125725643.6,97922.14694,1.8447E+11,1.84067E+11,99.78144349
AE,Aeternity,0.428040568,-10.19069309,117148638.2,99742215.21,60858459.33,273685830,233020472,85.14159173
NANO,Nano,0.873536691,-8.001659457,116397270.4,116397269.5,3382346.189,133248290,133248289,99.99999925
XZC,Zcoin,5.27446357,-7.26513702,112873520.4,36227985.32,665809.952,21400000,6868563,32.09608879
QASH,QASH,0.106858355,-8.499136758,106858354.6,37400424.11,483887.7715,1000000000,350000000,35
NULS,NULS,0.407018008,-10.02912227,105824682.2,25672883.92,6463073.897,260000000,63075548,24.25982615
ZEN,ZenCash,4.976380263,-8.470415545,104153832.1,29273372.77,458725.528,20929636.93,5882463,28.10590084
WTC,Waltonchain,1.021549407,-9.229292322,102154940.7,41883483.79,2388794.918,100000000,40999959,40.999959
PIVX,PIVX,0.724049824,-9.169175994,100764400.8,41112393.26,533715.7141,139167772,56781166,40.80051379
XVG,Verge,0.005995604,-10.6112636,98927461.08,90965815.3,1528345.217,16500000000,15172086051,91.95203667
STRAT,Stratis,0.836342007,-10.42191815,96619660.73,82986299.13,2143293.178,115526495,99225315,85.88966107
STORJ,Storj,0.22198451,-8.680732342,94343416.8,30142708.13,4037716.54,425000000,135787439,31.94998565
DENT,Dent,0.000910725,-3.876625263,91072461.3,29558910.7,1558417.285,1E+11,32456475076,32.45647508
POWR,Power Ledger,0.087475693,-10.96798739,87475693.01,34670903.97,2504468.624,1000000000,396349006,39.6349006
THETA,Theta Token,0.087250224,-11.2130015,87250224.01,75951554.7,4500063.251,1000000000,870502690,87.050269
MCO,Crypto.com,2.720914061,-9.771875168,85947369.08,42973656.84,8780507.859,31587682.36,15793831,49.99996777
POLY,Polymath,0.083521036,-10.87813921,83521036.38,31222801.58,4285241.677,1000000000,373831587,37.3831587
NEXO,Nexo,0.079308935,-10.87120535,79308935.05,44413004.5,4498207.023,1000000000,560000011,56.0000011
DGD,DigixDAO,15.04972423,-8.687598967,75248621.15,30099448.46,504510.4875,5000000,2000000,40
WAX,WAX,0.040092363,-11.84187339,74170871.6,37592085.76,510789.3878,1850000000,937637069,50.68308481
IOTX,IoTeX,0.007209903,-7.881765877,72099031.86,18205293.98,494371.1659,10000000000,2525040005,25.25040005
LRC,Loopring,0.051795282,-9.069945433,71216278.82,40865674.27,2001206.877,1374956868,788984491,57.38249027
ARK,Ark,0.569629526,-10.91123968,71203690.7,61845011.4,3065459.322,125000000,108570586,86.8564688
